City,Country,NOC,Summer,Winter,Year,Latitude,Longitude
Athens,Greece,GRE,I,,1896,37.9833333,23.7333336
Paris,France,FRA,II,,1900,48.85341,2.3487999
St. Louis,United States,USA,III,,1904,38.6272733,-90.1978912
London,United Kingdom,GBR,IV,,1908,51.5084153,-0.1255327
Stockholm,Sweden,SWE,V,,1912,59.3325765,18.0649033
Antwerp,Belgium,BEL,VII,,1920,51.2166667,4.4166665
Chamonix,France,FRA,,I,1924,45.9237,6.8694
Paris,France,FRA,VIII,,1924,48.85341,2.3487999
St. Moritz,Switzerland,SUI,,II,1928,46.4908,9.8355
Amsterdam,Netherlands,NED,IX,,1928,52.3075,4.9722219
Lake Placid,United States,USA,,III,1932,27.2931,-81.362846
Los Angeles,United States,USA,X,,1932,34.0522342,-118.2436829
Garmisch-Partenkirchen,Nazi Germany,GER,,IV,1936,47.49209,11.09576
Berlin,Nazi Germany,GER,XI,,1936,52.5166667,13.3999996
St. Moritz,Switzerland,SUI,,V,1948,46.4908,9.8355
London,United Kingdom,GBR,XIV,,1948,51.5084153,-0.1255327
Oslo,Norway,NOR,,VI,1952,60.1755556,24.934166
Helsinki,Finland,FIN,XV,,1952,60.1699,24.9384
Cortina d'Ampezzo,Italy,ITA,,VII,1956,46.5405,12.1357
Melbourne,Australia,AUS,XVI,,1956,-37.8139966,144.9633179
Stockholm,Sweden,SWE,XVI,,1956,59.3325765,18.0649033
Squaw Valley,United States,USA,,VIII,1960,39.1963,-120.2336
Rome,Italy,ITA,XVII,,1960,41.9,12.4833336
Innsbruck,Austria,AUT,,IX,1964,47.2666667,11.3999996
Tokyo,Japan,JPN,XVIII,,1964,35.6895266,139.6916809
Grenoble,France,FRA,,X,1968,45.1666667,5.7166667
Mexico City,Mexico,MEX,XIX,,1968,19.4341667,-99.1386108
Sapporo,Japan,JPN,,XI,1972,43.0547222,141.3538818
Munich,West Germany,GER,XX,,1972,48.1351,11.582
Innsbruck,Austria,AUT,,XII,1976,47.2666667,11.3999996
Montreal,Canada,CAN,XXI,,1976,45.5167792,-73.6491776
Lake Placid,United States,USA,,XIII,1980,27.2931,-81.362846
Moscow,Soviet Union,RUS,XXII,,1980,55.7522222,37.6155548
Sarajevo,Yugoslavia,RUS,,XIV,1984,43.85,18.3833332
Los Angeles,United States,USA,XXIII,,1984,34.0522342,-118.2436829
Calgary,Canada,CAN,,XV,1988,51.0501123,-114.085289
Seoul,South Korea,KOR,XXIV,,1988,37.5663889,126.9997253
Albertville,France,FRA,,XVI,1992,45.6755,6.3927
Barcelona,Spain,ESP,XXV,,1992,41.3887869,2.1589851
Lillehammer,Norway,NOR,,XVII,1994,61.1153,10.4662
Atlanta,United States,USA,XXVI,,1996,33.7489954,-84.3879852
Nagano,Japan,JPN,,XVIII,1998,36.65,138.1833344
Sydney,Australia,AUS,XXVII,,2000,-33.86785,151.2073212
Salt Lake City,United States,USA,,XIX,2002,40.758701,-111.876183
Athens,Greece,GRE,XXVIII,,2004,37.9833333,23.7333336
Turin,Italy,ITA,,XX,2006,45.0703,7.6869
Beijing,China,CHN,XXIX,,2008,39.9074977,116.3972244
Vancouver,Canada,CAN,,XXI,2010,49.2496574,-123.119339
London,United Kingdom,GBR,XXX,,2012,51.5084153,-0.1255327
Sochi,Russia,RUS,,XXII,2014,43.6,39.730278
Rio de Janeiro,Brazil,BRA,XXXI,,2016,-22.9027778,-43.2075005
